Date,GDP
2017-08-29,19664909.81521739
2017-08-30,19667559.326086957
2017-08-31,19670208.836956523
2017-09-01,19672858.347826086
2017-09-02,19675507.858695652
2017-09-03,19678157.36956522
2017-09-04,19680806.88043478
2017-09-05,19683456.391304348
2017-09-06,19686105.902173914
2017-09-07,19688755.413043477
2017-09-08,19691404.923913043
2017-09-09,19694054.43478261
2017-09-10,19696703.945652176
2017-09-11,19699353.45652174
2017-09-12,19702002.967391305
2017-09-13,19704652.47826087
2017-09-14,19707301.989130434
2017-09-15,19709951.5
2017-09-16,19712601.010869566
2017-09-17,19715250.52173913
2017-09-18,19717900.032608695
2017-09-19,19720549.54347826
2017-09-20,19723199.054347824
2017-09-21,19725848.56521739
2017-09-22,19728498.076086957
2017-09-23,19731147.586956523
2017-09-24,19733797.097826086
2017-09-25,19736446.608695652
2017-09-26,19739096.11956522
2017-09-27,19741745.63043478
2017-09-28,19744395.141304348
2017-09-29,19747044.652173914
2017-09-30,19749694.163043477
2017-10-01,19752343.673913043
2017-10-02,19754993.18478261
2017-10-03,19757642.695652176
2017-10-04,19760292.20652174
2017-10-05,19762941.717391305
2017-10-06,19765591.22826087
2017-10-07,19768240.739130434
2017-10-08,19770890.25
2017-10-09,19773539.760869566
2017-10-10,19776189.27173913
2017-10-11,19778838.782608695
2017-10-12,19781488.29347826
2017-10-13,19784137.804347824
2017-10-14,19786787.31521739
2017-10-15,19789436.826086957
2017-10-16,19792086.336956523
2017-10-17,19794735.847826086
2017-10-18,19797385.358695652
2017-10-19,19800034.86956522
2017-10-20,19802684.38043478
2017-10-21,19805333.891304348
2017-10-22,19807983.402173914
2017-10-23,19810632.913043477
2017-10-24,19813282.423913043
2017-10-25,19815931.93478261
2017-10-26,19818581.445652176
2017-10-27,19821230.95652174
2017-10-28,19823880.467391305
2017-10-29,19826529.97826087
2017-10-30,19829179.489130434
2017-10-31,19831829.0
2017-11-01,19834103.108695652
2017-11-02,19836377.217391305
2017-11-03,19838651.326086957
2017-11-04,19840925.43478261
2017-11-05,19843199.54347826
2017-11-06,19845473.652173914
2017-11-07,19847747.760869566
2017-11-08,19850021.86956522
2017-11-09,19852295.97826087
2017-11-10,19854570.086956523
2017-11-11,19856844.195652176
2017-11-12,19859118.304347824
2017-11-13,19861392.413043477
2017-11-14,19863666.52173913
2017-11-15,19865940.63043478
2017-11-16,19868214.739130434
2017-11-17,19870488.847826086
2017-11-18,19872762.95652174
2017-11-19,19875037.06521739
2017-11-20,19877311.173913043
2017-11-21,19879585.282608695
2017-11-22,19881859.391304348
2017-11-23,19884133.5
2017-11-24,19886407.608695652
2017-11-25,19888681.717391305
2017-11-26,19890955.826086957
2017-11-27,19893229.93478261
2017-11-28,19895504.04347826
2017-11-29,19897778.152173914
2017-11-30,19900052.260869566
2017-12-01,19902326.36956522
2017-12-02,19904600.47826087
2017-12-03,19906874.586956523
2017-12-04,19909148.695652176
2017-12-05,19911422.804347824
2017-12-06,19913696.913043477
2017-12-07,19915971.02173913
2017-12-08,19918245.13043478
2017-12-09,19920519.239130434
2017-12-10,19922793.347826086
2017-12-11,19925067.45652174
2017-12-12,19927341.56521739
2017-12-13,19929615.673913043
2017-12-14,19931889.782608695
2017-12-15,19934163.891304348
2017-12-16,19936438.0
2017-12-17,19938712.108695652
2017-12-18,19940986.217391305
2017-12-19,19943260.326086957
2017-12-20,19945534.43478261
2017-12-21,19947808.54347826
2017-12-22,19950082.652173914
2017-12-23,19952356.760869566
2017-12-24,19954630.86956522
2017-12-25,19956904.97826087
2017-12-26,19959179.086956523
2017-12-27,19961453.195652176
2017-12-28,19963727.304347824
2017-12-29,19966001.413043477
2017-12-30,19968275.52173913
2017-12-31,19970549.63043478
2018-01-01,19972823.739130434
2018-01-02,19975097.847826086
2018-01-03,19977371.95652174
2018-01-04,19979646.06521739
2018-01-05,19981920.173913043
2018-01-06,19984194.282608695
2018-01-07,19986468.391304348
2018-01-08,19988742.5
2018-01-09,19991016.608695652
2018-01-10,19993290.717391305
2018-01-11,19995564.826086957
2018-01-12,19997838.93478261
2018-01-13,20000113.04347826
