CAPOP,Date
39522481.49315102,2017-10-13
39522913.536986634,2017-10-14
39523345.58082225,2017-10-15
39523777.62465787,2017-10-16
39524209.66849349,2017-10-17
39524641.712329105,2017-10-18
39525073.75616472,2017-10-19
39525505.80000034,2017-10-20
39525937.84383596,2017-10-21
39526369.887671575,2017-10-22
39526801.93150719,2017-10-23
39527233.97534281,2017-10-24
39527666.01917843,2017-10-25
39528098.063014045,2017-10-26
39528530.10684966,2017-10-27
39528962.15068528,2017-10-28
39529394.1945209,2017-10-29
39529826.238356516,2017-10-30
39530258.28219213,2017-10-31
39530690.32602775,2017-11-01
39531122.36986337,2017-11-02
39531554.413698986,2017-11-03
39531986.457534604,2017-11-04
39532418.50137022,2017-11-05
39532850.54520584,2017-11-06
39533282.58904146,2017-11-07
39533714.632877074,2017-11-08
39534146.67671269,2017-11-09
39534578.72054831,2017-11-10
39535010.76438393,2017-11-11
39535442.808219545,2017-11-12
39535874.85205516,2017-11-13
39536306.89589078,2017-11-14
39536738.9397264,2017-11-15
39537170.983562015,2017-11-16
39537603.02739763,2017-11-17
39538035.07123325,2017-11-18
39538467.11506887,2017-11-19
39538899.158904485,2017-11-20
39539331.2027401,2017-11-21
39539763.24657572,2017-11-22
39540195.29041134,2017-11-23
39540627.334246956,2017-11-24
39541059.37808257,2017-11-25
39541491.42191819,2017-11-26
39541923.46575381,2017-11-27
39542355.509589426,2017-11-28
39542787.553425044,2017-11-29
39543219.59726066,2017-11-30
39543651.64109628,2017-12-01
39544083.6849319,2017-12-02
39544515.728767514,2017-12-03
39544947.77260313,2017-12-04
39545379.81643875,2017-12-05
39545811.86027437,2017-12-06
39546243.904109985,2017-12-07
39546675.9479456,2017-12-08
39547107.99178122,2017-12-09
39547540.03561684,2017-12-10
39547972.079452455,2017-12-11
39548404.12328807,2017-12-12
39548836.16712369,2017-12-13
39549268.21095931,2017-12-14
39549700.254794925,2017-12-15
39550132.29863054,2017-12-16
39550564.34246616,2017-12-17
39550996.38630178,2017-12-18
39551428.430137396,2017-12-19
39551860.47397301,2017-12-20
39552292.51780863,2017-12-21
39552724.56164425,2017-12-22
39553156.605479866,2017-12-23
39553588.649315484,2017-12-24
39554020.6931511,2017-12-25
39554452.73698672,2017-12-26
39554884.78082234,2017-12-27
39555316.824657954,2017-12-28
39555748.86849357,2017-12-29
39556180.91232919,2017-12-30
39556612.95616481,2017-12-31
39557045.0,2018-01-01
39557521.6,2018-01-02
39557998.2,2018-01-03
39558474.800000004,2018-01-04
39558951.400000006,2018-01-05
39559428.00000001,2018-01-06
39559904.60000001,2018-01-07
39560381.20000001,2018-01-08
39560857.80000001,2018-01-09
39561334.40000001,2018-01-10
39561811.000000015,2018-01-11
39562287.60000002,2018-01-12
39562764.20000002,2018-01-13
39563240.80000002,2018-01-14
39563717.40000002,2018-01-15
39564194.00000002,2018-01-16
39564670.600000024,2018-01-17
39565147.200000025,2018-01-18
39565623.80000003,2018-01-19
39566100.40000003,2018-01-20
39566577.00000003,2018-01-21
39567053.60000003,2018-01-22
39567530.20000003,2018-01-23
39568006.800000034,2018-01-24
39568483.400000036,2018-01-25
39568960.00000004,2018-01-26
39569436.60000004,2018-01-27
39569913.20000004,2018-01-28
39570389.80000004,2018-01-29
39570866.40000004,2018-01-30
39571343.000000045,2018-01-31
39571819.600000046,2018-02-01
39572296.20000005,2018-02-02
39572772.80000005,2018-02-03
39573249.40000005,2018-02-04
39573726.00000005,2018-02-05
39574202.60000005,2018-02-06
39574679.200000055,2018-02-07
39575155.80000006,2018-02-08
39575632.40000006,2018-02-09
39576109.00000006,2018-02-10
39576585.60000006,2018-02-11
39577062.20000006,2018-02-12
39577538.800000064,2018-02-13
39578015.400000066,2018-02-14
39578492.00000007,2018-02-15
39578968.60000007,2018-02-16
39579445.20000007,2018-02-17
39579921.80000007,2018-02-18
39580398.40000007,2018-02-19
39580875.000000075,2018-02-20
39581351.600000076,2018-02-21
39581828.20000008,2018-02-22
39582304.80000008,2018-02-23
39582781.40000008,2018-02-24
39583258.00000008,2018-02-25
39583734.60000008,2018-02-26
39584211.200000085,2018-02-27
39584687.80000009,2018-02-28
39585164.40000009,2018-03-01
39585641.00000009,2018-03-02
39586117.60000009,2018-03-03
39586594.20000009,2018-03-04
39587070.800000094,2018-03-05
39587547.400000095,2018-03-06
39588024.0000001,2018-03-07
39588500.6000001,2018-03-08
39588977.2000001,2018-03-09
39589453.8000001,2018-03-10
39589930.4000001,2018-03-11
39590407.000000104,2018-03-12
39590883.600000106,2018-03-13
39591360.20000011,2018-03-14
39591836.80000011,2018-03-15
39592313.40000011,2018-03-16
39592790.00000011,2018-03-17
39593266.60000011,2018-03-18
39593743.200000115,2018-03-19
39594219.800000116,2018-03-20
39594696.40000012,2018-03-21
39595173.00000012,2018-03-22
39595649.60000012,2018-03-23
39596126.20000012,2018-03-24
39596602.80000012,2018-03-25
39597079.400000125,2018-03-26
39597556.00000013,2018-03-27
39598032.60000013,2018-03-28
39598509.20000013,2018-03-29
39598985.80000013,2018-03-30
39599462.40000013,2018-03-31
39599939.000000134,2018-04-01
39600415.600000136,2018-04-02
39600892.20000014,2018-04-03
39601368.80000014,2018-04-04
39601845.40000014,2018-04-05
39602322.00000014,2018-04-06
39602798.60000014,2018-04-07
39603275.200000145,2018-04-08
39603751.800000146,2018-04-09
39604228.40000015,2018-04-10
39604705.00000015,2018-04-11
39605181.60000015,2018-04-12
39605658.20000015,2018-04-13
39606134.80000015,2018-04-14
39606611.400000155,2018-04-15
39607088.00000016,2018-04-16
39607564.60000016,2018-04-17
39608041.20000016,2018-04-18
39608517.80000016,2018-04-19
39608994.40000016,2018-04-20
39609471.000000164,2018-04-21
39609947.600000165,2018-04-22
39610424.20000017,2018-04-23
39610900.80000017,2018-04-24
39611377.40000017,2018-04-25
39611854.00000017,2018-04-26
39612330.60000017,2018-04-27
39612807.200000174,2018-04-28
39613283.800000176,2018-04-29
39613760.40000018,2018-04-30
39614237.00000018,2018-05-01
39614713.60000018,2018-05-02
39615190.20000018,2018-05-03
39615666.80000018,2018-05-04
39616143.400000185,2018-05-05
39616620.000000186,2018-05-06
39617096.60000019,2018-05-07
39617573.20000019,2018-05-08
39618049.80000019,2018-05-09
39618526.40000019,2018-05-10
39619003.00000019,2018-05-11
39619479.600000195,2018-05-12
39619956.2000002,2018-05-13
39620432.8000002,2018-05-14
39620909.4000002,2018-05-15
39621386.0000002,2018-05-16
39621862.6000002,2018-05-17
39622339.200000204,2018-05-18
39622815.800000206,2018-05-19
39623292.40000021,2018-05-20
39623769.00000021,2018-05-21
39624245.60000021,2018-05-22
39624722.20000021,2018-05-23
39625198.80000021,2018-05-24
39625675.400000215,2018-05-25
39626152.000000216,2018-05-26
39626628.60000022,2018-05-27
39627105.20000022,2018-05-28
39627581.80000022,2018-05-29
39628058.40000022,2018-05-30
39628535.00000022,2018-05-31
39629011.600000225,2018-06-01
39629488.20000023,2018-06-02
39629964.80000023,2018-06-03
39630441.40000023,2018-06-04
39630918.00000023,2018-06-05
39631394.60000023,2018-06-06
39631871.200000234,2018-06-07
39632347.800000235,2018-06-08
39632824.40000024,2018-06-09
39633301.00000024,2018-06-10
39633777.60000024,2018-06-11
39634254.20000024,2018-06-12
39634730.80000024,2018-06-13
39635207.400000244,2018-06-14
39635684.000000246,2018-06-15
39636160.60000025,2018-06-16
39636637.20000025,2018-06-17
39637113.80000025,2018-06-18
39637590.40000025,2018-06-19
39638067.00000025,2018-06-20
39638543.600000255,2018-06-21
39639020.20000026,2018-06-22
39639496.80000026,2018-06-23
39639973.40000026,2018-06-24
39640450.00000026,2018-06-25
39640926.60000026,2018-06-26
39641403.200000264,2018-06-27
39641879.800000265,2018-06-28
